industry,vintage,tp_2012q1,tp_2012q2,tp_2012q3,tp_2012q4,tp_2012,tp_2013q1,tp_2013q2,tp_2013q3,tp_2013q4,tp_2013,tp_2014q1,tp_2014q2,tp_2014q3,tp_2014q4,tp_2014
agriculture,2015m2,3.7,8.5,3.5,6.8,5.9,5.8,-0.2,-0.5,2.2,1.6,1.3,-0.2,2.6,2.5,1.4
fishing,2015m2,-32.8,-27.3,-3.0,-52.4,-32.2,14.7,-10.1,6.0,119.1,24.1,-4.8,-8.9,-15.2,-60.8,-27.9
mining,2015m2,3.0,4.6,4.0,-0.3,2.8,-1.3,7.0,6.1,7.4,4.9,5.0,-4.2,-2.9,-0.4,-0.8
manufacturing,2015m2,2.1,-0.8,3.4,1.2,1.5,1.3,4.9,3.1,10.4,5.0,4.1,-3.0,-3.4,-10.0,-3.3
electricity,2015m2,6.7,5.4,6.4,4.9,5.8,4.6,5.9,5.8,5.8,5.5,5.7,4.9,4.5,4.5,4.9
construction,2015m2,17.4,19.3,19.8,9.6,15.8,10.6,15.8,7.6,4.1,8.9,5.2,0.1,0.0,1.9,1.7
commerce,2015m2,8.4,6.9,6.8,6.9,7.2,5.1,6.4,5.2,6.7,5.9,5.2,4.4,4.0,4.2,4.4
services,2015m2,7.0,6.7,7.5,8.0,7.3,5.8,6.4,5.8,6.5,6.1,5.8,4.9,4.3,4.7,4.9
gdp,2015m2,6.0,5.7,6.8,5.4,6.0,4.4,6.2,5.2,7.2,5.8,5.0,1.8,1.8,1.0,2.4
