industry,vintage,tp_2017,tp_2018q1,tp_2018q2,tp_2018q3,tp_2018q4,tp_2018,tp_2019q1,tp_2019q2,tp_2019q3,tp_2019q4,tp_2019,tp_2020q1,tp_2020q2,tp_2020q3,tp_2020q4,tp_2020
agriculture,2021m4,2.8,7.1,11.1,6.3,5.0,7.7,4.8,2.4,2.2,5.3,3.5,3.7,2.3,-1.5,0.4,1.3
fishing,2021m4,4.7,13.8,34.2,16.1,168.1,47.7,-12.9,-27.3,29.5,-23.9,-17.2,-18.1,-15.4,11.8,35.0,2.1
mining,2021m4,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.2,0.3,2.1,0.0,-5.4,-34.1,-9.8,-3.8,-13.2
manufacturing,2021m4,-0.2,0.5,10.7,1.8,10.2,5.9,-1.0,-6.9,4.0,-2.3,-1.7,-10.5,-36.4,-8.0,1.0,-13.4
electricity,2021m4,1.1,2.3,5.0,3.9,6.3,4.4,5.9,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1
construction,2021m4,2.1,4.5,7.0,1.1,8.1,5.3,2.2,7.4,3.4,-4.8,1.4,-12.5,-66.1,-4.4,19.0,-13.9
commerce,2021m4,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0
services,2021m4,3.4,4.1,5.3,3.9,4.4,4.4,3.9,3.5,3.8,3.3,3.6,-0.8,-24.9,-10.8,-5.0,-10.3
gdp,2021m4,2.5,3.1,5.6,2.5,4.7,4.0,2.4,1.1,3.3,1.8,2.2,-3.7,-30.0,-9.0,-1.7,-11.1
