industry,vintage,tp_2000m1,tp_2000m2,tp_2000m3,tp_2000m4,tp_2000m5,tp_2000m6,tp_2000m7,tp_2000m8,tp_2000m9,tp_2000m10,tp_2000m11,tp_2000m12,tp_2001m1,tp_2001m2
agriculture,2001m4,1.7,4.9,6.6,7.9,6.1,7.9,9.8,7.3,4.7,3.7,6.4,7.5,0.2,-0.2
fishing,2001m4,-8.0,-7.2,131.4,-15.2,26.7,27.8,57.0,-19.3,-11.9,-27.9,15.0,-22.8,5.0,6.1
mining,2001m4,4.9,8.2,-0.7,3.8,5.5,-3.6,0.2,1.0,4.9,3.2,1.0,1.1,-4.4,-6.9
manufacturing,2001m4,10.0,10.8,17.7,5.5,12.0,9.6,10.8,10.3,-1.5,0.8,0.9,-5.1,0.1,-3.8
construction,2001m4,6.9,8.7,0.4,-8.3,4.8,-3.6,-2.5,1.3,-8.2,-12.4,-16.0,-19.2,-14.8,-18.3
commerce,2001m4,7.1,8.6,9.5,6.2,7.0,6.3,6.4,6.8,0.1,1.8,2.6,0.9,-1.6,0.2
services,2001m4,4.6,3.9,4.5,3.7,4.9,3.7,3.6,3.9,0.5,1.2,0.2,-0.7,-0.8,-1.2
gdp,2001m4,5.5,6.0,7.4,4.0,6.5,4.8,5.3,5.1,0.1,0.5,0.3,-1.8,-1.6,-2.5
