industry,vintage,tp_2007m2,tp_2007m3,tp_2007m4,tp_2007m5,tp_2007m6,tp_2007m7,tp_2007m8,tp_2007m9,tp_2007m10,tp_2007m11,tp_2007m12,tp_2008m1,tp_2008m2
agriculture,2008m4,8.9,6.3,-0.9,4.3,3.2,-4.5,-3.0,2.9,3.2,3.7,7.4,3.9,2.7
fishing,2008m4,27.2,3.9,9.2,12.4,-3.4,-1.0,1.0,-10.5,0.4,16.4,-0.8,1.5,-2.0
mining,2008m4,-2.8,2.4,-1.1,-0.5,-4.1,2.0,3.4,8.3,8.0,1.8,12.4,2.8,14.7
manufacturing,2008m4,7.8,7.5,10.6,13.1,12.7,14.2,7.1,9.9,14.3,11.4,6.5,10.0,13.4
electricity,2008m4,7.7,8.4,9.8,9.5,9.7,10.3,7.4,6.4,7.8,7.9,7.6,7.8,13.0
construction,2008m4,5.2,10.5,12.9,24.5,22.1,25.1,14.5,14.7,19.9,13.0,24.5,21.0,22.5
commerce,2008m4,14.1,9.2,7.8,8.3,5.2,13.8,10.0,13.4,13.1,8.9,8.6,12.9,12.0
services,2008m4,9.1,7.4,10.3,9.1,9.0,9.1,7.7,9.8,9.5,8.4,10.0,10.0,11.6
gdp,2008m4,8.7,7.5,8.1,9.2,8.2,9.6,7.2,9.9,10.7,8.5,9.9,10.1,11.9
