industry,vintage,tp_2016q2,tp_2016q3,tp_2016q4,tp_2016,tp_2017q1,tp_2017q2,tp_2017q3,tp_2017q4,tp_2017,tp_2018q1,tp_2018q2,tp_2018q3,tp_2018q4,tp_2018,tp_2019q1,tp_2019q2
agriculture,2019m8,1.7,2.5,4.3,2.7,-0.1,0.6,6.9,4.5,2.8,7.3,10.8,6.6,5.6,7.8,5.2,2.1
fishing,2019m8,-59.6,68.3,27.6,-10.1,37.9,128.8,-42.8,-51.5,4.7,6.1,29.2,4.9,154.6,39.7,-20.5,-30.1
mining,2019m8,23.6,16.0,10.8,16.3,4.3,2.0,4.5,2.9,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3
manufacturing,2019m8,-8.0,2.1,3.0,-1.4,2.3,4.5,-1.7,-5.3,-0.2,0.5,10.9,1.7,11.4,6.2,-0.9,-6.8
electricity,2019m8,7.2,6.6,5.3,7.3,1.1,1.6,1.7,0.2,1.1,2.3,5.0,3.9,6.4,4.4,6.0,3.9
construction,2019m8,1.1,-3.9,-9.6,-3.2,-5.5,-3.1,5.9,9.0,2.1,4.5,7.0,1.1,8.1,5.3,2.2,7.5
commerce,2019m8,2.3,1.4,0.9,1.8,0.1,0.9,1.4,1.7,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7
services,2019m8,4.3,4.3,3.1,3.8,3.0,2.7,3.2,3.8,3.4,4.3,5.3,3.9,4.1,4.4,3.7,3.5
gdp,2019m8,3.9,4.8,3.1,4.0,2.2,2.5,2.7,2.3,2.5,3.2,5.5,2.4,4.7,4.0,2.4,1.2
