industry,vintage,tp_1996q1,tp_1996q2,tp_1996q3,tp_1996q4,tp_1996,tp_1997q1,tp_1997q2,tp_1997q3,tp_1997q4,tp_1997,tp_1998q1,tp_1998q2,tp_1998q3
agriculture,1998m11,1.2,7.8,3.9,8.1,5.5,17.1,4.2,-3.9,6.5,4.9,3.1,-1.8,1.7
fishing,1998m11,-19.0,1.2,-13.6,23.5,-0.7,-11.8,24.9,7.6,-55.9,-12.2,-63.5,-64.2,0.6
mining,1998m11,1.4,2.7,3.2,4.2,2.9,4.6,7.3,6.3,4.9,5.8,3.4,-1.5,6.3
manufacturing,1998m11,0.9,1.4,2.0,5.7,2.5,2.6,11.3,7.2,3.1,6.0,0.9,-10.7,1.3
construction,1998m11,-2.2,-12.5,-6.3,2.7,-4.5,9.0,17.1,23.5,25.0,18.9,8.6,7.5,7.7
commerce,1998m11,-0.1,4.2,2.5,4.2,2.7,5.4,9.6,8.2,7.0,7.6,2.2,-1.2,1.0
services,1998m11,1.1,4.0,3.6,4.0,3.2,4.5,7.7,7.6,6.2,6.6,3.3,1.8,3.4
gdp,1998m11,0.3,2.5,2.1,4.9,2.5,5.7,9.0,7.3,6.4,7.2,2.5,-2.7,3.1
