industry,vintage,tp_1995q1,tp_1995q2,tp_1995q3,tp_1995q4,tp_1995,tp_1996q1,tp_1996q2,tp_1996q3,tp_1996q4,tp_1996,tp_1997q1,tp_1997q2,tp_1997q3
agriculture,1998m2,10.7,7.8,8.8,2.8,7.6,1.4,8.1,4.0,8.3,5.8,15.9,3.2,-3.9
fishing,1998m2,-5.4,-20.4,-30.4,-23.4,-19.1,-18.9,1.4,-13.2,23.8,-0.5,-10.7,23.3,16.3
mining,1998m2,4.3,0.5,3.2,2.7,2.6,1.3,2.5,3.9,3.6,2.8,4.7,7.1,5.5
manufacturing,1998m2,10.3,5.0,4.0,-1.5,4.2,1.2,2.3,2.3,5.0,2.7,3.0,12.4,8.1
construction,1998m2,32.0,31.6,12.4,1.5,17.5,-4.2,-10.4,-4.3,0.2,-4.6,9.7,24.1,29.3
commerce,1998m2,20.8,15.0,11.8,2.7,12.4,-0.3,4.4,2.5,5.4,3.0,4.8,9.5,8.5
services,1998m2,10.9,8.1,6.9,2.8,7.0,1.4,3.8,3.4,4.0,3.2,3.5,7.3,7.0
gdp,1998m2,12.8,8.6,6.9,1.2,7.2,0.3,2.9,2.3,4.6,2.6,5.4,9.4,7.8
