industry,vintage,tp_1998m12,tp_1999m1,tp_1999m2,tp_1999m3,tp_1999m4,tp_1999m5,tp_1999m6,tp_1999m7,tp_1999m8,tp_1999m9,tp_1999m10,tp_1999m11,tp_1999m12
agriculture,2000m2,17.8,19.5,7.8,8.3,6.2,25.2,14.9,27.0,13.3,10.4,8.3,3.1,-8.4
fishing,2000m2,176.6,141.5,78.4,129.5,252.2,80.7,96.1,-26.1,-32.8,-18.0,59.9,37.0,91.6
mining,2000m2,11.2,16.1,10.4,15.4,14.2,12.9,18.2,7.7,7.0,3.5,5.4,11.4,0.8
manufacturing,2000m2,-6.7,-1.5,1.0,6.6,9.3,6.6,8.0,-3.6,-2.3,5.6,13.8,18.9,29.7
construction,2000m2,-11.4,-13.1,-15.9,-13.1,-15.1,-19.3,-21.1,-22.0,-17.7,-12.7,-1.5,2.5,1.3
commerce,2000m2,-9.2,-9.0,-7.8,-5.0,-5.1,0.0,2.1,-4.5,-4.1,2.9,7.8,9.1,10.2
services,2000m2,-0.3,-0.8,-0.8,1.0,1.7,3.7,1.4,-0.2,-2.0,1.5,3.5,4.1,4.3
gdp,2000m2,-0.6,0.9,-0.3,2.8,3.6,6.6,5.5,0.4,-1.5,2.2,7.0,9.0,9.2
