sectores_economicos;economic_sectors;1999_nov;1999_dic;1999_year;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_ene_nov
agropecuario;agriculture and livestock;4.7;-6.1;12;0.9;4.4;6.4;7.9;6.4;7.7;8.9;8.1;5;3.2;7.2;6.2
agricola;agriculture;5.4;-13.9;14.2;-3.2;5.7;9.9;9.7;7.1;8;7.2;7;1.5;-1.9;6.6;6
pecuario;livestock;4.7;6.5;9.3;5.8;3;1.7;4.4;4.7;6.9;11.5;9.3;8.5;8.3;7.7;6.5
pesca;fishing;24.8;68.2;28.9;-7.9;-7.2;131.4;-15.2;26.7;27.8;57;-19.2;-11.9;-27.9;15;12.9
mineria e hidrocarburos;mining and fuel;13.6;2.9;11.8;4.7;8.2;-0.7;3.7;5.6;-3.6;-0.9;0.9;4.8;3.2;-1.2;2.2
mineria;mining;16.3;4.6;14.3;7.6;11;0.5;5.6;6.7;-3.1;-0.1;1.7;6.6;4.5;-0.5;3.6
petroleo y gas;fuels;-6.5;-10.8;-6.4;-13.4;-7.9;-8.7;-9.3;-3.6;-5.9;-4.9;-3;-6;-5.1;-6.6;-6.8
manufactura;manufacturing;9;17.4;0.3;10;10.8;17.7;5.5;12;9.6;10.8;10.3;-1.5;0.8;0.9;7.7
procesadores recursos primarios;based on raw materials;13.7;33.2;15.6;3.7;2.9;44.4;-3;20.7;21.1;32.1;11.6;3.2;-8;9.8;12.2
resto industria;non primary;7.7;12.3;-3.4;11.9;13;10.5;8.3;9.3;6.1;5.4;10;-2.7;3.4;-1.7;6.5
construccion;construction;1.6;-2.8;-10.8;6.9;8.7;0.4;-8.3;4.7;-4.1;-3.5;-0.7;-10.6;-14.2;-17.3;-3.9
comercio;commerce;4.3;0.3;-1.6;7.1;8.5;9.5;6.2;7.1;6.2;5.9;6.9;0.2;1.6;2.8;5.6
otros servicios;other services;3.3;2.6;1.2;4.6;4;4.6;3.7;5;3.6;3.4;3.7;0.3;1;0;3
pbi;gdp;5;3.7;1.4;5.5;6;7.4;4;6.6;4.6;4.9;4.9;-0.1;0.2;0.1;4
pbi sectores primarios;gdp primary sectors;10.2;7.2;13;2.4;5;13.8;4.1;8.9;7.4;10.7;5.6;4.3;-0.2;5.3;6.3
pbi sectores no primarios;gdp non primary sectors;4;3;-0.9;6.1;6.2;6;4;6;3.9;3.6;4.8;-0.9;0.3;-1;3.6
pbi desestacionalizado;seasonally adjusted gdp;-0.3;0;;1.6;-1.4;4.2;-1.8;-0.5;1.5;0.3;-4.2;-0.2;0.3;0.7;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;0.9;1.4;;1.9;2.5;3.1;3.5;3.7;3.9;4.2;4.8;4.7;4.4;4;
pbi promedio de ultimos tres meses;average gdp for the last three months;3.3;4.2;;4.7;5;6.3;5.8;6;5.1;5.4;4.8;3.3;1.6;0;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;2.4;3.7;;4.9;5.1;5.9;4.2;5.3;4.4;5.3;4;2.1;0;-1.3;
