industry,vintage,tp_1998q1,tp_1998q2,tp_1998q3,tp_1998q4,tp_1998,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999,tp_2000q1,tp_2000q2
agriculture,2000m9,2.0,-4.0,-1.3,12.3,1.3,12.0,16.3,15.7,1.9,12.0,3.9,7.3
fishing,2000m9,-37.2,-45.7,28.4,56.9,-13.7,35.3,48.4,-14.0,41.8,28.9,36.8,11.4
mining,2000m9,4.8,0.4,6.9,10.1,5.6,14.6,15.9,8.7,8.7,11.8,3.8,2.0
manufacturing,2000m9,1.4,-6.8,-0.8,-7.5,-3.6,-4.6,-1.1,-3.8,10.8,0.3,13.8,9.5
construction,2000m9,7.7,-0.7,6.7,-9.4,0.7,-13.1,-12.0,-16.7,-1.0,-10.8,5.2,-2.3
commerce,2000m9,-0.2,-3.9,-4.2,-4.0,-3.1,-5.1,-2.8,-0.9,2.7,-1.6,9.0,6.8
services,2000m9,5.2,-1.2,0.3,-1.9,0.5,-0.3,1.7,0.4,2.8,1.2,4.6,4.3
gdp,2000m9,3.5,-3.0,0.2,-1.9,-0.4,-0.7,2.1,-0.1,4.2,1.4,6.6,5.3
