industry,vintage,tp_1997q1,tp_1997q2,tp_1997q3,tp_1997q4,tp_1997,tp_1998q1,tp_1998q2,tp_1998q3,tp_1998q4,tp_1998,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999
agriculture,2000m4,17.0,4.3,-4.8,6.4,4.9,4.3,-1.9,2.1,15.5,3.6,11.3,15.7,17.8,0.6,12.1
fishing,2000m4,-11.7,25.0,7.8,-55.9,-12.1,-61.9,-66.8,3.7,55.6,-35.6,114.2,129.8,-25.8,64.2,66.3
mining,2000m4,4.7,7.3,6.3,4.9,5.8,3.5,-1.4,7.1,10.1,4.8,14.0,15.1,6.0,5.8,10.0
manufacturing,2000m4,2.9,12.3,7.6,3.7,6.6,1.7,-9.1,2.3,-5.4,-2.8,2.0,8.0,-0.2,20.7,7.6
construction,2000m4,13.2,20.8,22.9,23.7,20.4,9.2,2.5,7.0,-11.1,1.3,-14.1,-18.5,-17.3,0.8,-12.3
commerce,2000m4,4.8,8.8,7.5,7.4,7.2,2.2,-1.0,-2.8,-7.3,-2.2,-7.3,-1.1,-1.9,9.1,-0.5
services,2000m4,4.0,6.1,5.9,5.0,5.3,3.2,1.3,1.8,0.1,1.5,-0.2,2.2,-0.2,4.0,1.5
gdp,2000m4,5.9,8.8,6.7,6.0,6.9,2.8,-2.9,2.4,-0.6,0.3,1.2,5.2,0.4,8.4,3.8
