industry,vintage,tp_1998q1,tp_1998q2,tp_1998q3,tp_1998q4,tp_1998,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999,tp_2000q1
agriculture,2000m7,4.2,-2.0,2.1,15.5,3.6,11.5,15.6,17.8,0.7,12.1,3.0
fishing,2000m7,-61.9,-66.8,3.7,55.6,-35.6,114.5,129.9,-25.6,64.4,66.4,67.4
mining,2000m7,3.5,-1.4,7.1,10.1,4.8,14.4,15.1,6.0,5.8,10.1,1.3
manufacturing,2000m7,1.7,-9.1,2.3,-5.4,-2.8,2.0,8.0,-0.2,20.7,7.6,20.6
construction,2000m7,9.2,2.4,7.1,-11.1,1.3,-14.5,-16.3,-18.2,0.5,-12.2,4.0
commerce,2000m7,2.2,-1.1,-2.8,-7.3,-2.2,-7.0,-1.4,-1.8,9.0,-0.6,9.3
services,2000m7,3.2,1.3,1.8,0.1,1.5,-0.1,2.1,-0.1,4.0,1.5,4.1
gdp,2000m7,2.8,-2.9,2.4,-0.6,0.3,1.3,5.3,0.3,8.3,3.8,8.5
