industry,vintage,tp_2013m9,tp_2013m10,tp_2013m11,tp_2013m12,tp_2014m1,tp_2014m2,tp_2014m3,tp_2014m4,tp_2014m5,tp_2014m6,tp_2014m7,tp_2014m8,tp_2014m9
agriculture,2014m11,3.0,2.6,4.4,-0.1,2.3,0.4,0.8,3.7,0.2,-4.4,2.2,3.7,1.6
fishing,2014m11,11.3,15.0,261.4,79.1,-17.6,18.2,22.3,82.2,-9.3,-30.7,13.5,-22.0,-26.4
mining,2014m11,1.9,6.8,8.2,7.4,5.5,8.0,1.6,-4.8,-2.0,-5.9,-1.3,-3.7,-3.1
manufacturing,2014m11,7.4,9.1,15.2,12.6,1.0,4.7,7.9,2.1,-3.0,-8.3,-5.1,-2.6,-1.8
electricity,2014m11,6.0,7.2,4.3,5.9,4.9,6.1,6.1,4.8,5.1,4.9,4.3,4.4,4.7
construction,2014m11,-3.6,4.3,4.5,3.5,3.8,9.8,3.1,-8.9,5.8,2.4,-6.0,-3.7,6.9
commerce,2014m11,5.6,6.3,6.7,7.1,4.7,5.3,5.6,3.5,4.2,5.5,4.2,3.2,4.5
services,2014m11,6.7,7.0,6.7,6.4,6.8,6.1,6.7,6.0,5.6,5.7,5.2,5.1,5.5
gdp,2014m11,4.9,6.6,8.0,7.0,4.4,5.6,5.5,2.5,2.3,0.3,1.3,1.3,2.7
