target_period,agriculture_2014_3,fishing_2014_3,mining_2014_3,manufacturing_2014_3,electricity_2014_3,construction_2014_3,commerce_2014_3,services_2014_3,gdp_2014_3
2013m1,6.0,23.1,-2.3,4.6,6.1,18.3,5.3,6.6,6.1
2013m2,5.7,6.8,-0.1,-3.0,3.9,11.3,5.7,6.6,4.2
2013m3,5.4,-15.1,-2.1,-1.3,3.9,4.1,4.3,5.2,2.7
2013m4,0.8,-26.3,6.7,7.4,6.1,31.1,7.6,7.3,8.5
2013m5,-2.6,-22.8,4.0,0.4,5.6,9.6,6.6,6.1,4.1
2013m6,1.5,6.3,8.4,7.1,6.1,7.5,5.0,6.1,6.0
2013m7,-3.6,-23.8,5.8,1.1,6.6,20.4,4.5,6.2,5.2
2013m8,0.5,39.2,9.5,2.7,4.8,6.8,5.6,6.3,5.6
2013m9,2.5,11.2,1.3,7.4,6.0,-4.5,5.6,6.6,4.7
2013m10,2.9,15.0,6.2,7.5,7.2,3.1,6.3,6.8,6.1
2013m11,4.2,261.4,7.6,12.5,4.3,2.9,6.7,6.4,7.2
2013m12,-0.6,79.1,6.7,12.2,5.9,2.4,7.1,6.2,6.7
2014m1,1.9,-17.6,5.5,0.4,5.1,3.2,4.7,6.7,4.2
