target_period,agriculture_2014_7,fishing_2014_7,mining_2014_7,manufacturing_2014_7,electricity_2014_7,construction_2014_7,commerce_2014_7,services_2014_7,gdp_2014_7
2013m5,-2.7,-22.8,4.7,1.0,5.6,9.6,6.6,6.1,4.3
2013m6,1.2,6.3,9.0,7.6,6.1,7.5,5.0,6.1,6.1
2013m7,-3.8,-23.8,6.4,1.4,6.6,20.4,4.5,6.2,5.3
2013m8,0.2,39.2,10.0,3.7,4.8,7.2,5.6,6.3,5.8
2013m9,3.2,11.3,1.9,7.7,6.0,-3.6,5.6,6.6,4.9
2013m10,2.6,15.0,6.8,7.6,7.2,4.3,6.3,6.8,6.3
2013m11,4.3,261.4,8.2,12.7,4.3,4.5,6.7,6.4,7.5
2013m12,-0.1,79.1,7.4,12.5,5.9,3.5,7.1,6.2,6.9
2014m1,2.4,-17.6,5.7,-0.9,4.9,3.2,4.7,6.7,4.0
2014m2,-0.3,18.2,8.0,4.1,6.1,9.8,5.3,6.1,5.4
2014m3,0.2,22.3,0.9,5.7,6.3,3.1,5.6,6.4,4.9
2014m4,3.6,82.2,-6.1,0.4,4.8,-8.9,3.5,5.8,2.0
2014m5,0.3,-9.3,-4.5,-2.5,5.1,4.7,3.4,5.3,1.8
