industry,vintage,tp_2021q1,tp_2021q2,tp_2021q3,tp_2021q4,tp_2021,tp_2022q1,tp_2022q2,tp_2022q3,tp_2022q4,tp_2022,tp_2023q1,tp_2023q2,tp_2023q3,tp_2023q4,tp_2023,tp_2024q1
agriculture,2024m6,0.8,1.3,11.3,6.6,4.6,4.7,4.8,5.4,3.1,4.5,1.3,-5.6,-3.6,-0.3,-2.4,-0.7
fishing,2024m6,51.6,26.1,-28.7,-3.1,9.9,-22.7,-7.8,17.4,-17.7,-11.4,15.9,-61.0,-8.3,-3.6,-19.7,-29.5
mining,2024m6,0.0,39.0,6.6,-3.1,8.1,1.3,-1.1,-4.2,6.0,0.5,2.5,16.4,8.7,4.7,8.0,7.6
manufacturing,2024m6,16.2,61.6,9.3,2.7,18.6,1.6,3.4,1.2,-2.2,1.0,-0.5,-11.7,-8.3,-5.2,-6.5,-6.3
electricity,2024m6,2.8,25.3,6.3,3.0,8.5,3.4,2.6,4.3,5.2,3.9,4.6,5.8,3.0,1.4,3.7,3.9
construction,2024m6,42.5,232.5,23.9,-5.1,34.9,-0.4,3.4,3.6,5.1,3.1,-11.5,-7.2,-9.3,-4.5,-7.9,5.1
commerce,2024m6,1.4,85.9,10.1,3.9,17.8,5.9,2.6,2.4,2.5,3.3,2.2,3.1,2.6,1.6,2.4,2.4
services,2024m6,0.1,31.7,12.9,6.2,11.5,5.2,4.5,2.8,1.2,3.3,-0.6,0.1,-0.7,-0.3,-0.4,1.6
gdp,2024m6,4.3,42.2,11.6,3.4,13.4,3.8,3.3,2.0,1.8,2.7,-0.4,-0.5,-0.9,-0.4,-0.6,1.4
