industry,vintage,tp_2021q2,tp_2021q3,tp_2021q4,tp_2021,tp_2022q1,tp_2022q2,tp_2022q3,tp_2022q4,tp_2022,tp_2023q1,tp_2023q2,tp_2023q3,tp_2023q4,tp_2023,tp_2024q1,tp_2024q2
agriculture,2024m10,1.3,11.3,6.6,4.6,4.7,4.9,5.4,3.1,4.6,1.3,-5.8,-3.5,-0.4,-2.5,-0.4,8.0
fishing,2024m10,26.1,-28.7,-3.1,9.9,-22.7,-7.8,17.4,-17.7,-11.4,16.3,-61.5,-11.9,-6.4,-21.2,-29.8,184.2
mining,2024m10,39.0,6.6,-3.1,8.1,1.3,-1.1,-4.2,6.0,0.5,2.5,16.5,8.7,4.7,8.0,7.9,-3.3
manufacturing,2024m10,61.6,9.3,2.7,18.6,1.6,3.4,1.2,-2.2,1.0,-0.4,-11.7,-8.3,-5.4,-6.5,-6.4,10.2
electricity,2024m10,25.3,6.3,3.0,8.5,3.4,2.6,4.3,5.2,3.9,4.6,5.8,3.0,1.5,3.7,3.7,1.4
construction,2024m10,232.5,23.9,-5.1,34.9,-0.4,3.4,3.6,5.1,3.1,-11.5,-7.2,-9.3,-4.5,-7.9,4.8,3.3
commerce,2024m10,85.9,10.1,3.9,17.8,5.9,2.6,2.4,2.5,3.3,2.2,3.1,2.6,1.6,2.4,2.4,2.5
services,2024m10,31.7,12.9,6.2,11.5,5.2,4.5,2.8,1.2,3.3,-0.7,0.1,-0.7,-0.2,-0.4,1.5,2.7
gdp,2024m10,42.2,11.6,3.4,13.4,3.8,3.3,2.0,1.8,2.7,-0.4,-0.5,-0.9,-0.4,-0.6,1.4,3.6
