target_period,yhat_1,yhat_2,yhat_3
2001m1,,,
2001m2,,,
2001m3,,,
2001m4,,,
2001m5,,,
2001m6,,,
2001m7,,,
2001m8,,,
2001m9,,,
2001m10,,,
2001m11,,,
2001m12,4.395974746031244,,
2002m1,4.2202770172639,4.166697120942615,4.142644576186192
2002m2,3.618189328712027,3.661163193368388,3.641510123976047
2002m3,1.876793745216232,1.82589825027553,1.794851771105524
2002m4,7.896146702665687,7.871508439800873,7.897204627187576
2002m5,4.679852067477639,4.820705231442227,4.810264865619903
2002m6,3.955097714881725,3.901880369805453,3.880449531091547
2002m7,4.147459858208605,4.111373041609074,4.294112178560414
2002m8,4.143632235999674,4.116114397918225,4.067240582106753
2002m9,7.724799387632478,7.711261790369487,7.653839180227462
2002m10,4.898911354079467,4.884601645390522,4.713686154186227
2002m11,6.31920632974087,6.550294881951269,6.553877917057132
2002m12,6.738835934370194,6.68141890380381,6.671477926699956
2003m1,5.008293781141575,4.972322141863236,5.04837141824664
2003m2,5.70964422931644,5.605714165883632,5.535416285004298
2003m3,5.607955299710622,5.849081682640824,6.027910073158464
2003m4,2.842978456797423,3.102543663891724,3.253927435479839
2003m5,2.09389053502832,1.739549456532306,1.711622410598633
2003m6,6.061936894479754,6.050975157433827,5.984961759991208
2003m7,3.638982753055998,3.703261432619004,3.811656690899587
2003m8,3.422757668846913,3.386668700163523,3.344774684232621
2003m9,3.926494874783192,3.898412212731739,3.847644317175651
2003m10,4.440249740056107,4.417558502813507,4.548046350974038
2003m11,1.171150842456367,1.061668570077392,.9856580874330986
2003m12,3.388827223759814,3.379473319692644,3.305265994197103
2004m1,3.295301260718286,3.278924307448576,4.888085595533182
2004m2,4.424648296291723,4.810940554510048,4.868518113408092
2004m3,5.872558488150387,5.776917998108175,5.808343815849734
2004m4,3.644301084580702,3.585637989256269,3.720688185884248
2004m5,4.551542500673733,4.352578243007708,4.27242304716625
2004m6,3.326652523668841,3.32907691199648,3.246086974282183
2004m7,4.133213499351017,4.124949503685424,4.053516697272046
2004m8,6.38872329484437,6.461839411314995,6.416142171105129
2004m9,4.880865193404533,4.853076931522468,4.806438550449804
2004m10,2.41995708276067,2.391867812151867,2.489029536235387
2004m11,8.839083999528496,9.150818727932888,9.179707295326835
2004m12,9.615252754139824,9.549108762787307,9.556226088191311
2005m1,5.763125454590039,5.724731870645538,5.734929767901441
2005m2,7.272665530537797,7.171702000156407,7.103549215847335
2005m3,4.410955265269893,4.408360073959509,4.337303886018732
2005m4,6.83708904561524,6.833519685934482,6.691354729822432
2005m5,7.566768766704717,6.91962572360875,6.676916030007741
2005m6,5.022265413632259,5.145877045979989,4.939394495085389
2005m7,5.307131120609911,5.362505706116893,5.265558361882619
2005m8,7.142283344560793,7.168533600872829,7.069201671266082
2005m9,6.136128082922568,6.145041369895051,6.063745753772846
2005m10,7.668674463528304,7.673078357009689,7.748508471434967
2005m11,8.401529186807442,8.48626114619413,8.438882323770775
2005m12,7.906082457563553,7.892146021696925,7.842166648190284
2006m1,4.837160914960169,4.822374074890953,5.13922893896838
2006m2,5.314561483529125,5.623238800850781,5.505891541965266
2006m3,11.24097038779438,10.85522475649587,10.77355559318055
2006m4,4.035606450580345,4.059920562441773,4.148179125937201
2006m5,6.951766620542398,7.284397506285891,7.292196831693643
2006m6,7.369357222305124,7.307548608000233,7.306025797497713
2006m7,9.52800492613269,9.502036927344093,9.54129187660792
2006m8,9.762066358896837,9.996453544558115,10.01051917494829
2006m9,7.833996742970353,7.780994051531387,7.812674982015634
2006m10,10.17455539635263,10.15465245329993,10.15444072634218
2006m11,7.430732483691023,7.419897239957244,7.368730575501737
2006m12,9.456304060289753,9.45554544087312,9.395580283119685
2007m1,9.776229256579668,9.539459599365106,9.558112651363299
2007m2,7.943456835292304,8.237890747684864,8.185902925807172
2007m3,6.084304886867255,6.217850587601083,6.22465620765166
2007m4,7.79512817837688,7.748505643946122,7.881534885364294
2007m5,8.824263083464482,8.884592215929318,8.865660736662264
2007m6,7.098470102916052,7.070115541168665,7.035047573011361
2007m7,8.928293562695387,8.917386163457422,9.275505709439773
2007m8,6.9980980051786,7.313168740406264,7.345619300871475
2007m9,9.337613393876429,9.433563748022648,9.523839725410971
2007m10,10.9953418655987,10.93851977438357,11.05494417170821
2007m11,8.669619595212218,8.966156755722585,9.023326515352553
2007m12,10.49947898966402,10.42795215144653,10.44852143362049
2008m1,10.71915496161265,10.69136077826871,10.8152461910801
2008m2,12.57173550170868,12.73207757556822,12.91360299476985
2008m3,6.046099772492897,6.088531390015643,6.091548103464172
2008m4,13.96844458122075,13.94971510708503,14.18055941682888
2008m5,7.887170784753532,8.039285469816816,8.036989060795984
2008m6,12.14625202301663,12.12056581706081,12.09641123059041
2008m7,8.899813993546022,8.889963903157328,9.179296237353158
2008m8,9.490850031540674,9.732483399923513,9.743192209841112
2008m9,10.51009478741974,10.467938350308,10.45846897834291
2008m10,9.29121981091216,9.274245675210866,9.421507794219684
2008m11,5.59633141031294,6.630137052658511,6.865982483216237
2008m12,5.344128763869278,5.116123264289016,5.291580280572304
2009m1,3.475294159989597,3.349864960996826,3.333796842881496
2009m2,.4720202296934047,.3092192586188642,.289117012436775
2009m3,2.775022513618641,2.737349218528968,2.691569678821946
2009m4,-1.830351856242235,-1.874756493330979,-1.848075171100438
2009m5,.6763459030319025,.7967736988785759,.7900416419749636
2009m6,-1.982053735637363,-2.061294470309936,-2.075968184387507
2009m7,-1.294616960804046,-1.358139943360195,-1.39085834026509
2009m8,.4394560637899274,.3078922366616356,.2425276405863936
2009m9,.1493647599261894,.1203721099426226,.0541552425958896
2009m10,.9733181170810465,.9410189607430424,.9550429818303616
2009m11,4.466031890404691,4.441570761055923,4.19523770098668
2009m12,6.764618084718777,5.540728537433982,5.148064116527104
2010m1,3.947449425561761,4.177561175741657,3.849284689709229
2010m2,6.293484059354387,6.243624798918832,6.003830266257366
2010m3,9.285334241355908,9.378398580073885,9.210595558909308
2010m4,9.843155447716798,9.895460421969648,9.776863322933545
2010m5,9.769677554361353,9.720706156065582,9.604803686014151
2010m6,12.54705185927471,12.59235763550656,12.49063405980121
2010m7,9.616888758881439,9.644482220092247,9.670854007073276
2010m8,9.806545369126656,9.906458524892221,9.851853177290094
2010m9,11.02986349400699,11.03183376458122,10.975666791241
2010m10,8.891663777994543,8.895647070625774,8.908196572487222
2010m11,10.61290232860388,10.78385787352573,10.76185964015693
2010m12,9.497394778661093,9.47384737549905,9.442199089501036
2011m1,10.6157713064861,10.61168262063641,10.6350239153631
2011m2,9.089336138565246,9.0102044094874,8.854713604086276
2011m3,8.461857705959948,8.319723918809075,8.194509903861125
2011m4,7.936245557956823,7.979287838807528,7.907213057746594
2011m5,7.61631804330094,7.798753986803676,7.75540177558844
2011m6,5.763606515527866,5.735882964594286,5.696538431018652
2011m7,6.965755640777823,6.949895517930668,6.860720109959821
2011m8,7.990569111705856,8.064045231454047,7.989322743532355
2011m9,6.262610777345713,6.238604153299899,6.19469957876539
2011m10,5.532025734346734,5.514142695843238,5.535577755529629
2011m11,5.414349353043288,5.47988632281769,5.444761141844267
2011m12,6.429257605384006,6.401838633837561,6.359193705033734
2012m1,5.822461315556339,5.803702778136209,5.78827607221359
2012m2,7.661803985989742,7.491108540888125,7.388195800048751
2012m3,5.941120684029128,6.045230915706111,5.970672966393288
2012m4,4.804667856771638,4.792093481601198,4.768364087675486
2012m5,6.936297323638044,7.25053126278422,7.275719810332468
2012m6,7.566366530209715,7.495930135683562,7.502913417797942
2012m7,7.683768185146257,7.648494259336015,7.69352038400562
2012m8,6.771097155962181,6.75091304035796,6.704539675667029
2012m9,6.355275467431082,6.34152523884432,6.286544852645788
2012m10,7.166360734294801,7.158044463115394,7.135330681191848
2012m11,7.274277954066756,7.268960734188404,7.206643904453154
2012m12,4.718880599322727,4.708127279828638,4.646543871352478
2013m1,,,
2013m2,,,
2013m3,,,
2013m4,,,
2013m5,,,
2013m6,,,
2013m7,,,
2013m8,,,
2013m9,,,
2013m10,,,
2013m11,,,
2013m12,,,
2014m1,,,
2014m2,,,
2014m3,,,
2014m4,,,
2014m5,,,
2014m6,,,
2014m7,,,
2014m8,,,
2014m9,,,
2014m10,,,
2014m11,,,
2014m12,.7007849578565177,,.6096320445116454
2015m1,1.920420358400755,1.894137961362655,1.756854128250888
2015m2,1.111237310811674,1.161185580040921,1.123744655017257
2015m3,2.949382545223931,2.905013540938371,2.864057016027544
2015m4,4.606456078560968,4.576177912977646,4.488102901450812
2015m5,1.461399795205755,1.34896811913334,1.273542391425519
2015m6,4.202978529612819,4.194375510341004,4.119767783070323
2015m7,3.609518640001306,3.594351256364269,3.527498621205013
2015m8,2.896170647955324,2.875784885347923,2.813383564453841
2015m9,3.298983985054377,3.277094050354641,3.216586021432933
2015m10,3.300392392378378,3.277748913063538,3.367124617086237
2015m11,4.324848834947733,4.385225209459056,4.34823010872256
2015m12,6.794052059015919,6.765162592037377,6.721241826223904
2016m1,3.757426513494003,3.732392842744258,3.680751797561766
2016m2,6.400842552928673,6.546205571303701,6.532384471045988
2016m3,4.067937984781278,4.017251119065794,3.994043277109219
2016m4,2.822988346260474,2.784558739192169,2.818531990203973
2016m5,5.257507656302794,5.151231470322796,5.078622648716327
2016m6,3.943889574621838,3.937520067864879,3.86458959305872
2016m7,4.141832024827515,4.129166351927763,4.025473465818816
2016m8,5.881165421797057,5.950693000413087,5.907693275060928
2016m9,4.467593707435411,4.436902481945413,4.391956830197544
2016m10,2.413327715282513,2.383787707505322,2.370078625233165
2016m11,3.512302997525792,3.647647042950195,3.636789938105206
2016m12,3.511776728451638,3.45469149552067,3.433396550732479
2017m1,5.149515089636962,5.114264238069794,5.10999663735754
2017m2,.9710349241580956,.9353406789425125,.8875047337467201
2017m3,.9318081720229637,.8958876508674791,.8446394211373057
2017m4,.4003317173102756,.3629091711549628,.3104186403443419
2017m5,3.660547795713458,3.711867871605706,3.677901248051672
2017m6,3.895411383101644,3.854227962376663,3.814230771577087
2017m7,1.86536188264068,1.829188859635983,1.855541551509744
2017m8,2.566945326595071,2.69647637209121,2.688098324502366
2017m9,3.489111223590579,3.429121047660777,3.409065148453058
2017m10,3.295457750420953,3.253764353573511,3.437849117630091
2017m11,2.07013655734649,2.195527326521549,2.192964227886977
2017m12,1.54560592706624,1.478279654858459,1.462763844522585
2018m1,3.068941439691309,3.023023616540259,3.023381690386627
2018m2,3.183006966003593,3.067446235917334,2.998094389604947
2018m3,4.213779796645773,4.203603671333759,4.132041277025778
2018m4,8.221755373119864,8.218279497915963,8.149062893986635
2018m5,6.842488519948734,6.919110662453765,6.874204687831874
2018m6,2.348397637241623,2.315432169743791,2.271338371740987
2018m7,2.608485807963705,2.578364177323351,2.60211190349544
2018m8,2.588525836184307,2.479207927362584,2.40368397265795
2018m9,2.373792620473979,2.361748582938656,2.288645776771173
2018m10,4.516281313522475,4.501887679161464,4.584025769421192
2018m11,5.66364668937926,5.570511373509128,5.484840903738236
2018m12,5.073088234773488,5.076345935398395,4.995932836254132
2019m1,1.904206104391516,1.890254319003197,1.821961750050786
2019m2,2.381634493352057,2.279832361493159,2.195214189725923
2019m3,3.496456966152055,3.491215385610153,3.412624333631967
2019m4,.2278773825285716,.2052361684677029,.2136844852300763
2019m5,.8078397454893314,.8587952254819171,.820981796725428
2019m6,2.845326563967406,2.801192499587885,2.760128491622132
2019m7,3.580686281672194,3.547752630845727,3.497687410123401
2019m8,3.700740147273192,3.673679248742763,3.618986658831008
2019m9,2.48228015827343,2.454831536783322,2.398869266459806
2019m10,2.370663985603626,2.342744467496658,2.397995067250478
