industry,vintage,tp_2003m3,tp_2003m4,tp_2003m5,tp_2003m6,tp_2003m7,tp_2003m8,tp_2003m9,tp_2003m10,tp_2003m11,tp_2003m12,tp_2004m1,tp_2004m2,tp_2004m3
agriculture,2004m5,-0.1,4.8,0.2,6.8,3.8,2.0,0.6,1.7,-1.4,-1.1,4.3,1.1,-0.1
fishing,2004m5,-25.5,10.8,-23.7,-31.2,-26.3,12.0,-1.4,27.2,0.0,-43.6,12.0,-6.9,14.0
mining,2004m5,1.4,8.2,14.0,10.3,11.9,1.2,10.0,4.8,5.0,2.6,11.4,17.4,8.6
manufacturing,2004m5,6.7,-0.3,-0.3,3.9,1.4,2.0,2.6,1.3,0.1,-2.0,3.8,3.2,7.8
electricity,2004m5,4.0,2.2,3.6,6.4,5.9,5.0,2.5,3.6,4.2,3.0,6.7,6.4,4.4
construction,2004m5,13.0,5.9,4.4,10.5,2.0,4.4,3.5,7.2,-0.1,5.3,2.0,5.0,9.8
commerce,2004m5,9.3,2.8,-1.3,7.5,3.0,3.9,2.8,3.4,-1.2,0.2,3.0,1.3,3.2
services,2004m5,5.8,4.2,2.9,4.7,4.3,2.5,2.8,6.5,0.9,7.0,4.0,4.2,7.3
gdp,2004m5,6.6,3.4,1.7,6.2,3.6,3.2,3.6,4.6,0.8,3.2,7.5,4.6,5.5
