industry,vintage,tp_2005q1,tp_2005q2,tp_2005q3,tp_2005q4,tp_2005,tp_2006q1,tp_2006q2,tp_2006q3,tp_2006q4,tp_2006,tp_2007q1
agriculture,2007m6,2.2,5.8,5.0,6.1,4.8,4.7,5.8,11.2,7.6,7.2,4.5
fishing,2007m6,13.6,2.0,-6.4,-2.6,1.2,31.9,-12.3,18.2,-8.5,2.7,-1.2
mining,2007m6,1.0,4.8,10.9,15.7,8.1,6.1,7.6,-0.6,-7.6,1.0,-1.6
manufacturing,2007m6,7.3,8.0,6.2,4.5,6.5,7.3,3.0,8.1,8.2,6.6,8.4
construction,2007m6,2.2,6.9,10.6,13.3,8.4,16.3,13.2,16.0,13.5,14.7,9.0
commerce,2007m6,6.3,5.9,4.4,4.1,5.2,11.7,9.0,14.0,14.4,12.1,10.2
electricity,2007m6,3.7,5.6,5.7,6.3,5.3,7.2,4.9,7.6,7.8,6.9,8.3
services,2007m6,6.2,4.9,5.8,8.3,6.3,7.2,7.1,8.9,9.6,8.2,8.4
gdp,2007m6,5.9,5.9,6.3,7.7,6.5,8.0,6.5,9.2,8.5,8.0,7.5
