industry,vintage,tp_2003q1,tp_2003q2,tp_2003q3,tp_2003q4,tp_2003,tp_2004q1,tp_2004q2,tp_2004q3,tp_2004q4,tp_2004,tp_2005q1
agriculture,2005m5,1.8,3.7,2.2,-0.5,2.1,2.0,-5.4,-0.8,2.8,-1.1,3.0
fishing,2005m5,-13.0,-14.0,-17.2,-6.6,-12.5,18.9,32.4,46.2,27.0,30.5,1.3
mining,2005m5,3.7,10.1,8.2,5.2,6.8,12.9,2.8,1.4,5.0,5.4,0.8
manufacturing,2005m5,5.7,1.3,2.1,1.1,2.4,5.2,6.0,6.3,9.1,6.7,4.9
electricity,2005m5,5.7,4.8,5.1,4.0,4.9,4.9,4.4,4.1,4.9,4.6,3.5
construction,2005m5,4.1,6.0,3.1,3.9,4.2,7.0,4.0,3.5,4.4,4.7,2.8
commerce,2005m5,7.3,2.9,1.9,0.9,3.2,3.4,2.1,5.4,9.2,4.8,5.6
services,2005m5,6.1,4.5,3.4,4.6,4.6,4.5,2.6,5.2,6.5,4.7,6.8
gdp,2005m5,5.8,3.8,3.3,3.2,4.0,4.8,3.2,4.7,6.6,4.8,5.4
