industry,vintage,tp_2002q1,tp_2002q2,tp_2002q3,tp_2002q4,tp_2002,tp_2003q1,tp_2003q2,tp_2003q3,tp_2003q4,tp_2003,tp_2004q1,tp_2004q2,tp_2004q3
agriculture,2005m1,6.4,7.2,3.8,6.3,6.0,2.2,4.0,2.5,-0.4,2.3,1.7,-4.7,-1.0
fishing,2005m1,-18.4,9.1,8.4,29.5,5.7,-12.8,-13.8,-17.3,-7.5,-12.6,13.1,26.0,33.7
mining,2005m1,27.1,20.5,5.0,2.7,12.5,4.5,10.3,7.9,4.9,6.9,12.5,2.6,1.5
manufacturing,2005m1,0.5,4.7,4.8,5.9,4.0,5.6,0.8,1.8,0.6,2.1,4.6,6.1,6.1
electricity,2005m1,5.1,5.8,3.9,5.0,5.0,4.6,4.0,4.5,3.7,4.2,4.7,4.2,4.1
construction,2005m1,10.1,7.1,10.4,4.4,7.9,4.0,6.0,3.2,3.9,4.2,7.2,4.1,3.5
commerce,2005m1,1.2,6.8,3.9,4.8,4.3,8.0,3.6,2.6,1.2,3.8,3.1,1.8,4.3
services,2005m1,1.7,5.4,5.1,2.9,3.8,5.4,3.5,2.7,4.3,4.0,5.4,4.2,6.8
gdp,2005m1,3.0,6.3,5.3,4.5,4.9,5.7,3.6,3.0,2.9,3.8,4.9,3.6,4.8
