target_period,agriculture_2022_4,fishing_2022_4,mining_2022_4,manufacturing_2022_4,electricity_2022_4,construction_2022_4,commerce_2022_4,services_2022_4,gdp_2022_4
2021m2,-0.7,6.8,-4.4,0.1,-4.6,14.9,-5.7,-7.0,-3.6
2021m3,-1.4,35.7,15.5,51.2,14.0,134.2,12.5,8.4,20.1
2021m4,-4.4,141.1,58.0,115.6,34.0,990.0,158.3,33.0,59.1
2021m5,-4.8,97.6,67.1,84.0,28.5,258.1,104.1,26.4,48.4
2021m6,11.9,-37.7,7.9,18.5,15.1,90.3,38.1,21.4,23.6
2021m7,11.8,-41.4,-0.9,7.2,6.9,36.5,13.3,15.1,12.9
2021m8,7.5,-29.9,3.2,11.2,6.0,25.2,9.9,12.7,11.7
2021m9,12.0,-39.2,11.0,6.7,5.9,13.0,7.4,10.2,9.8
2021m10,5.2,-33.1,1.5,-1.4,3.3,-2.0,5.1,8.1,4.5
2021m11,2.5,13.0,-5.2,4.0,3.1,-5.6,3.8,7.2,3.5
2021m12,9.2,-12.6,-6.1,1.4,2.5,-8.9,2.7,5.0,1.7
2022m1,5.0,-30.3,4.5,-1.6,3.1,-0.6,2.3,4.0,2.9
2022m2,2.9,-21.1,0.1,3.0,4.4,-2.5,7.5,7.8,4.9
