target_period,agriculture_2022_11,fishing_2022_11,mining_2022_11,manufacturing_2022_11,electricity_2022_11,construction_2022_11,commerce_2022_11,services_2022_11,gdp_2022_11
2021m9,12.6,-26.3,11.0,8.4,5.9,13.0,7.4,10.2,10.2
2021m10,6.4,-25.3,1.5,0.5,3.3,-2.0,5.1,8.2,5.0
2021m11,3.2,18.3,-5.2,5.0,3.1,-5.6,3.8,7.2,3.7
2021m12,10.0,-10.0,-5.4,2.6,2.5,-8.9,2.7,4.7,1.9
2022m1,5.3,-34.1,4.5,-1.6,3.3,-0.6,2.3,4.1,2.9
2022m2,2.6,-31.2,0.0,2.7,4.3,-2.5,7.5,7.9,4.8
2022m3,4.2,-34.0,-1.0,4.2,2.8,1.4,8.1,4.6,3.8
2022m4,7.7,-40.4,-0.6,3.2,2.8,4.9,2.6,5.2,4.0
2022m5,9.1,-19.1,-6.0,1.7,2.0,0.2,2.8,5.0,2.5
2022m6,-0.3,15.1,3.1,5.9,3.1,5.1,2.5,2.7,3.5
2022m7,0.8,29.0,-5.7,2.4,5.0,1.0,2.8,2.7,1.6
2022m8,4.5,-14.7,-4.9,-0.2,3.4,4.7,2.3,2.1,1.7
2022m9,2.5,-9.3,-2.1,-0.9,4.6,3.1,2.1,2.2,1.7
