industry,vintage,tp_2021m3,tp_2021m4,tp_2021m5,tp_2021m6,tp_2021m7,tp_2021m8,tp_2021m9,tp_2021m10,tp_2021m11,tp_2021m12,tp_2022m1,tp_2022m2,tp_2022m3
agriculture,2022m5,-0.9,-4.0,-4.5,12.4,12.5,8.0,12.5,5.5,2.8,9.6,5.1,3.0,2.9
fishing,2022m5,35.7,141.1,97.6,-37.7,-41.4,-29.9,-39.2,-33.1,13.0,-12.6,-30.3,-21.1,-25.1
mining,2022m5,15.5,58.0,67.1,7.9,-0.9,3.2,11.0,1.5,-5.2,-5.4,4.4,0.1,-1.2
manufacturing,2022m5,50.2,116.6,83.5,20.0,7.7,11.9,8.4,0.5,5.1,2.6,-1.4,2.7,4.7
electricity,2022m5,14.0,34.0,28.5,15.1,6.9,6.0,5.9,3.3,3.1,2.5,3.2,4.4,2.7
construction,2022m5,134.2,990.0,258.1,90.3,36.5,25.2,13.0,-2.0,-5.6,-8.9,-0.6,-2.5,1.4
commerce,2022m5,12.5,158.3,104.1,38.1,13.3,9.9,7.4,5.1,3.8,2.7,2.3,7.5,8.1
services,2022m5,8.5,33.3,26.5,21.4,15.1,12.7,10.2,8.1,7.2,4.7,4.1,7.9,4.5
gdp,2022m5,20.0,59.3,48.4,23.9,13.0,11.8,10.2,4.9,3.7,1.9,2.9,4.9,3.8
