target_period,agriculture_2022_8,fishing_2022_8,mining_2022_8,manufacturing_2022_8,electricity_2022_8,construction_2022_8,commerce_2022_8,services_2022_8,gdp_2022_8
2021m6,12.2,-34.5,7.9,20.0,15.1,90.3,38.1,21.3,23.6
2021m7,12.6,-34.9,3.4,7.7,6.9,36.5,13.3,15.1,13.6
2021m8,8.1,-19.9,5.4,11.9,6.0,25.2,9.9,12.7,12.1
2021m9,13.2,-26.3,11.0,8.4,5.9,13.0,7.4,10.2,10.2
2021m10,6.5,-25.3,1.5,0.5,3.3,-2.0,5.1,8.3,5.0
2021m11,3.0,18.3,-5.2,5.0,3.1,-5.6,3.8,7.2,3.7
2021m12,9.8,-9.9,-5.4,2.6,2.5,-8.9,2.7,4.7,1.9
2022m1,5.0,-34.1,4.4,-1.2,3.3,-0.6,2.3,4.1,2.9
2022m2,2.7,-31.2,0.1,2.7,4.3,-2.5,7.5,7.9,4.8
2022m3,3.8,-34.0,-1.0,4.2,2.8,1.4,8.1,4.6,3.8
2022m4,7.2,-40.4,-0.7,3.3,2.8,4.9,2.6,5.3,4.0
2022m5,8.9,-19.1,-6.1,1.5,2.0,0.2,2.8,5.0,2.5
2022m6,-1.6,15.1,3.0,5.7,3.1,6.0,2.5,2.8,3.4
