industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5,tp_1994m6,tp_1994m7
agriculture,1994m9,-1.3,0.9,-3.7,-1.6,1.6,4.4,8.8,20.5,14.7,10.6,11.6,8.7,11.7,3.8,11.7,17.7,27.2,36.0,3.5
fishing,1994m9,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.2,82.0,44.6,41.7,42.8,30.7,24.0
mining,1994m9,7.1,6.1,8.3,3.4,8.1,7.3,14.2,10.2,11.3,5.0,4.3,8.9,6.5,0.8,5.8,6.6,12.2,5.9,-1.4
manufacturing,1994m9,-3.6,-5.0,9.9,12.0,3.6,9.7,13.8,10.9,9.5,2.2,12.0,6.5,13.5,10.1,12.9,21.9,18.8,13.3,17.0
construction,1994m9,-6.8,-1.6,6.3,6.9,10.1,22.9,18.6,27.7,19.3,11.2,28.6,25.5,30.7,21.6,30.0,27.7,36.7,30.0,27.8
commerce,1994m9,-8.0,-4.0,-0.6,4.9,3.7,5.8,8.6,10.0,8.9,2.5,6.6,12.5,18.2,8.4,14.9,17.6,17.6,11.7,11.9
gdp,1994m9,-2.2,-1.6,4.9,6.0,4.0,8.0,11.3,12.6,9.9,4.8,9.7,9.4,11.5,6.6,11.0,14.5,16.7,14.9,8.9
