industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5,tp_1994m6,tp_1994m7,tp_1994m8,tp_1994m9
agriculture,1994m11,-1.1,1.3,-3.3,-1.7,1.4,4.5,8.9,20.4,15.4,10.6,11.7,9.0,11.4,3.4,11.4,17.2,27.7,35.9,3.3,1.7,2.1
fishing,1994m11,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.8,84.5,44.6,41.7,43.1,30.7,24.0,27.9,18.8
mining,1994m11,7.1,6.1,8.3,3.4,8.1,7.3,14.2,10.2,11.3,5.0,4.3,8.9,6.4,2.1,6.7,7.9,12.4,6.7,0.4,0.5,-1.6
manufacturing,1994m11,-3.6,-5.0,9.9,12.0,3.6,9.7,13.8,10.9,9.5,2.2,12.0,6.5,13.6,10.1,12.9,21.9,18.8,13.3,17.5,16.2,17.2
construction,1994m11,-6.9,-1.6,6.5,7.0,10.2,23.1,18.8,28.0,19.4,11.3,29.0,25.8,31.1,21.9,30.3,28.2,37.2,30.4,28.1,27.3,44.3
commerce,1994m11,-7.9,-4.0,-0.6,4.9,3.7,5.8,8.6,10.0,9.1,2.5,6.7,12.6,18.2,8.5,14.9,17.6,17.6,9.1,9.4,7.8,14.1
gdp,1994m11,-2.2,-1.5,5.0,5.9,4.0,8.1,11.3,12.7,10.1,4.8,9.8,9.4,12.5,7.3,12.3,15.6,17.7,15.2,9.1,8.9,11.8
