industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5
agriculture,1994m7,-1.3,0.9,-2.8,-1.5,0.8,4.1,9.6,19.3,16.7,11.4,10.7,8.1,11.6,4.6,9.8,16.4,29.7
fishing,1994m7,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.2,82.0,44.6,41.7,42.8
mining,1994m7,7.1,6.1,8.3,3.4,8.1,7.3,14.2,10.2,11.3,5.0,4.3,8.9,6.4,0.8,5.6,4.4,10.4
manufacturing,1994m7,-3.7,-5.0,9.9,12.0,3.6,9.7,14.3,10.9,9.5,2.2,12.0,6.5,13.6,10.1,12.9,21.9,17.7
construction,1994m7,-6.8,-1.6,6.3,6.9,10.1,22.9,18.6,27.7,19.3,11.2,28.6,25.5,30.7,21.6,30.0,27.7,36.7
commerce,1994m7,-8.0,-4.0,-0.5,4.9,3.7,5.8,8.6,9.9,9.0,2.5,6.5,12.5,18.1,8.4,14.5,18.0,13.5
gdp,1994m7,-2.2,-1.6,5.0,6.0,3.9,8.0,11.6,12.5,10.2,4.8,9.6,9.3,11.5,6.7,10.6,14.1,16.3
