industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5,tp_1994m6,tp_1994m7,tp_1994m8
agriculture,1994m10,-1.3,0.9,-3.7,-1.6,1.6,4.4,8.8,20.5,14.7,10.6,11.6,8.7,11.7,3.8,11.7,17.7,27.2,36.0,3.5,1.7
fishing,1994m10,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.2,82.0,44.6,41.7,42.8,30.7,24.0,27.9
mining,1994m10,7.1,6.1,8.3,3.4,8.1,7.3,14.2,10.2,11.3,5.0,4.3,8.9,6.4,2.1,6.7,7.9,12.2,6.6,0.4,0.5
manufacturing,1994m10,-3.6,-5.0,9.9,12.0,3.6,9.7,13.8,10.9,9.5,2.2,12.0,6.5,13.5,10.1,12.9,21.9,18.8,13.3,17.5,14.5
construction,1994m10,-6.9,-1.6,6.5,7.0,10.2,23.1,18.6,27.7,19.3,11.3,29.0,25.8,31.1,21.9,30.3,28.2,37.2,30.4,28.1,27.3
commerce,1994m10,-8.0,-4.0,-0.6,4.9,3.7,5.8,8.6,10.0,8.9,2.4,6.6,12.5,18.2,8.5,14.9,17.6,17.6,11.7,12.1,9.9
gdp,1994m10,-2.2,-1.5,4.9,6.0,4.1,8.0,11.3,12.7,9.9,4.8,9.8,9.4,11.6,6.9,11.1,14.7,16.7,15.0,10.0,8.9
