industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3
agriculture,1994m5,-1.3,0.9,-2.8,-1.5,0.8,4.1,9.6,19.3,16.7,11.4,10.7,8.1,11.6,4.6,9.8
fishing,1994m5,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.2,82.0,44.6
mining,1994m5,7.1,6.1,8.3,3.4,8.1,7.3,14.2,10.2,11.3,5.0,4.3,8.9,5.4,-0.1,4.3
manufacturing,1994m5,-3.6,-5.0,9.9,12.0,3.6,9.7,13.8,10.9,9.5,2.2,12.0,6.5,13.4,10.1,8.0
construction,1994m5,-6.8,-1.6,6.3,6.9,10.1,22.9,18.6,27.7,19.3,11.2,28.6,25.5,30.7,21.6,30.0
commerce,1994m5,-8.0,-4.0,-0.5,4.9,3.7,5.8,8.6,9.9,9.0,2.5,6.5,12.5,9.8,3.0,3.6
gdp,1994m5,-2.2,-1.6,5.0,6.0,3.9,8.0,11.5,12.5,10.2,4.9,9.6,9.3,11.1,6.5,8.3
