industry,vintage,tp_2010q1,tp_2010q2,tp_2010q3,tp_2010q4,tp_2010,tp_2011q1,tp_2011q2,tp_2011q3,tp_2011q4,tp_2011,tp_2012q1,tp_2012q2,tp_2012q3
agriculture,2012m12,3.8,4.4,2.4,6.6,4.3,3.0,2.9,7.2,2.3,3.8,2.6,7.0,3.1
fishing,2012m12,-8.2,-9.7,-27.0,-25.3,-16.4,12.3,20.8,65.9,36.6,29.7,-9.7,-11.7,0.7
mining,2012m12,1.1,1.7,-2.3,-1.0,-0.1,-0.3,-2.3,0.9,0.9,-0.2,3.5,4.1,3.3
manufacturing,2012m12,7.5,16.8,17.4,13.0,13.6,12.3,6.0,3.8,1.0,5.6,-0.7,0.2,3.5
electricity,2012m12,6.5,8.6,8.4,7.3,7.7,7.3,7.4,7.7,7.2,7.4,6.3,5.0,5.1
construction,2012m12,16.8,21.5,16.6,15.5,17.4,8.1,0.4,1.8,3.8,3.4,12.5,16.6,19.2
commerce,2012m12,8.1,11.0,9.6,9.9,9.7,10.3,8.8,8.6,7.6,8.8,7.9,6.4,6.2
services,2012m12,4.9,8.8,9.3,8.9,8.0,9.3,9.0,8.0,7.1,8.3,7.6,7.2,6.7
gdp,2012m12,6.2,10.0,9.6,9.2,8.8,8.8,6.9,6.7,5.5,6.9,6.0,6.3,6.5
