industry,vintage,tp_2009q1,tp_2009q2,tp_2009q3,tp_2009q4,tp_2009,tp_2010q1,tp_2010q2,tp_2010q3,tp_2010q4,tp_2010,tp_2011q1,tp_2011q2,tp_2011q3,tp_2011q4,tp_2011
agriculture,2012m4,4.4,1.1,2.3,1.9,2.3,3.8,4.4,2.4,6.6,4.3,3.0,2.9,7.2,2.3,3.8
fishing,2012m4,-14.2,1.4,-6.1,-14.6,-7.9,-8.2,-9.7,-27.0,-25.3,-16.4,12.3,20.8,66.0,36.6,29.7
mining,2012m4,3.7,0.5,0.1,-1.6,0.6,1.1,1.7,-2.3,-1.0,-0.1,-0.3,-2.3,0.9,0.9,-0.2
manufacturing,2012m4,-4.2,-11.6,-10.3,-2.3,-7.2,7.5,16.8,17.4,13.0,13.6,12.3,6.0,3.8,1.0,5.6
electricity,2012m4,1.2,0.3,-0.3,3.5,1.2,6.5,8.6,8.4,7.3,7.7,7.3,7.4,7.7,7.2,7.4
construction,2012m4,5.1,-1.1,4.9,14.8,6.1,16.8,21.5,16.6,15.5,17.4,8.1,0.4,1.8,3.8,3.4
commerce,2012m4,0.4,-2.1,-1.8,2.2,-0.4,8.1,11.0,9.6,9.9,9.7,10.3,8.8,8.6,7.6,8.8
services,2012m4,3.7,1.7,1.8,5.2,3.1,4.9,8.8,9.3,8.9,8.0,9.3,9.0,8.0,7.1,8.3
gdp,2012m4,1.9,-1.2,-0.6,3.4,0.9,6.2,10.0,9.6,9.2,8.8,8.8,6.9,6.7,5.5,6.9
