industry,vintage,tp_1997m11,tp_1997m12,tp_1998m1,tp_1998m2,tp_1998m3,tp_1998m4,tp_1998m5,tp_1998m6,tp_1998m7,tp_1998m8,tp_1998m9,tp_1998m10,tp_1998m11
agriculture,1999m1,5.5,10.3,-1.0,3.4,6.4,4.5,-8.0,-0.5,-5.6,5.0,8.9,12.6,20.1
fishing,1999m1,-56.0,-78.2,-77.1,-44.9,-54.5,-80.3,-63.3,-30.0,1.4,25.2,-19.1,13.3,23.5
mining,1999m1,6.1,4.4,6.8,4.0,-0.3,-0.9,-3.5,-0.1,6.2,5.1,7.7,9.4,6.2
manufacturing,1999m1,0.0,-2.8,-1.2,1.6,3.7,-14.6,-9.4,-6.5,1.5,4.6,0.0,-5.8,-2.3
construction,1999m1,22.6,23.7,10.3,2.4,13.2,3.0,4.0,16.0,11.2,13.3,-0.1,-14.0,-8.9
commerce,1999m1,5.9,7.6,0.2,2.1,3.7,-1.3,-2.9,0.1,0.4,1.1,-1.2,-8.4,-2.0
services,1999m1,5.4,5.6,1.6,3.8,4.0,1.6,2.0,3.0,2.3,3.0,2.9,0.2,0.4
gdp,1999m1,4.7,4.4,0.7,2.5,4.1,-3.7,-4.1,0.5,2.0,4.7,2.3,-1.8,1.1
