industry,vintage,tp_1998m1,tp_1998m2,tp_1998m3,tp_1998m4,tp_1998m5,tp_1998m6,tp_1998m7,tp_1998m8,tp_1998m9,tp_1998m10,tp_1998m11,tp_1998m12,tp_1999m1,tp_1999m2,tp_1999m3,tp_1999m4,tp_1999m5,tp_1999m6
agriculture,1999m8,0.4,4.1,7.8,5.1,-9.5,-0.1,-2.1,1.1,9.5,11.6,16.8,17.8,18.6,9.2,5.9,7.1,23.1,11.7
fishing,1999m8,-73.6,-44.0,-56.2,-81.0,-64.8,-39.0,4.7,23.8,-12.8,12.2,28.2,176.6,138.1,78.4,129.9,251.9,80.5,92.8
mining,1999m8,6.9,4.0,-0.3,-0.9,-3.5,-0.1,7.0,5.5,8.5,11.1,7.4,10.4,15.4,10.3,14.4,14.0,12.2,17.5
manufacturing,1999m8,-0.9,2.1,4.3,-13.0,-8.2,-5.6,2.3,4.6,-0.1,-6.2,-3.3,-6.7,-0.8,1.9,6.0,8.8,5.0,6.9
construction,1999m8,3.2,7.7,17.3,2.0,-3.2,9.1,10.2,11.8,0.1,-13.4,-8.3,-11.4,-9.7,-16.4,-12.6,-15.6,-20.5,-22.0
commerce,1999m8,0.8,2.0,4.1,-0.8,-2.2,-0.2,-1.9,-1.6,-4.9,-9.2,-3.1,-9.2,-9.5,-6.2,-6.1,-5.9,-0.8,1.6
services,1999m8,1.2,4.0,4.5,1.1,1.0,1.8,2.3,2.0,1.1,0.4,0.3,0.0,-0.6,-0.3,0.2,0.7,1.7,1.4
gdp,1999m8,0.3,3.3,5.0,-3.5,-4.9,-0.3,2.4,3.5,1.4,-1.7,0.6,-0.6,1.0,0.3,1.9,3.5,4.9,4.3
