industry,vintage,tp_1998m1,tp_1998m2,tp_1998m3,tp_1998m4,tp_1998m5,tp_1998m6,tp_1998m7,tp_1998m8,tp_1998m9,tp_1998m10,tp_1998m11,tp_1998m12,tp_1999m1,tp_1999m2,tp_1999m3,tp_1999m4
agriculture,1999m6,0.2,4.8,7.8,4.9,-9.7,0.1,-2.2,1.4,9.4,11.5,16.8,17.6,18.1,9.1,5.9,9.0
fishing,1999m6,-73.6,-44.0,-56.2,-81.0,-64.8,-39.0,4.7,23.8,-12.8,12.2,28.2,176.6,138.1,78.4,129.9,251.9
mining,1999m6,6.9,4.1,-0.3,-0.9,-3.4,0.0,7.1,5.6,8.7,11.2,7.5,10.5,15.6,10.4,14.4,14.1
manufacturing,1999m6,-1.2,1.6,3.7,-14.6,-9.4,-6.5,1.5,4.6,0.0,-5.8,-2.3,-4.0,-0.8,1.9,6.0,8.8
construction,1999m6,10.3,2.4,13.2,3.0,4.0,16.0,11.2,13.3,-0.1,-14.0,-8.9,-10.7,-9.7,-16.4,-12.6,-15.6
commerce,1999m6,0.7,2.8,4.1,-1.2,-2.4,0.1,0.4,0.1,-1.1,-8.5,-2.2,-6.4,-9.5,-6.2,-5.9,-5.2
services,1999m6,1.7,3.9,4.1,1.7,1.8,3.0,2.7,2.7,3.0,0.3,0.3,0.0,-0.7,-0.3,0.1,0.6
gdp,1999m6,1.0,2.8,4.4,-3.7,-4.4,0.5,2.7,4.1,2.6,-1.6,0.9,0.5,0.9,0.3,1.9,3.8
