industry,vintage,tp_2003m12,tp_2004m1,tp_2004m2,tp_2004m3,tp_2004m4,tp_2004m5,tp_2004m6,tp_2004m7,tp_2004m8,tp_2004m9,tp_2004m10,tp_2004m11,tp_2004m12
agriculture,2005m2,-1.5,4.2,1.2,0.2,-5.3,-3.2,-7.4,-2.0,-0.5,0.4,0.1,4.0,3.4
fishing,2005m2,-32.0,9.7,14.5,32.9,16.9,43.4,30.7,65.8,8.1,49.9,-0.9,34.2,38.3
mining,2005m2,4.0,10.6,18.1,9.5,10.8,0.0,-2.1,-1.7,6.0,0.6,2.7,5.3,7.9
manufacturing,2005m2,-1.7,4.1,2.9,7.0,5.0,6.2,7.4,9.4,5.4,4.9,6.5,10.9,10.7
electricity,2005m2,3.1,3.2,6.4,4.4,5.0,4.2,3.5,2.4,4.3,5.5,3.2,4.6,6.8
construction,2005m2,5.0,6.9,5.9,8.7,3.6,3.0,5.4,0.7,4.5,4.9,-2.9,8.2,7.8
commerce,2005m2,1.7,2.2,3.0,5.1,3.1,1.3,1.1,1.8,8.1,5.5,4.1,13.2,9.7
services,2005m2,6.3,3.4,4.8,8.4,4.3,3.8,4.0,5.8,7.9,6.2,2.3,10.3,10.9
gdp,2005m2,3.4,3.8,5.3,6.2,3.7,3.7,3.1,3.9,6.1,4.8,2.5,8.8,9.1
