industry,vintage,tp_2014q1,tp_2014q2,tp_2014q3,tp_2014q4,tp_2014,tp_2015q1,tp_2015q2,tp_2015q3,tp_2015q4,tp_2015,tp_2016q1,tp_2016q2,tp_2016q3,tp_2016q4,tp_2016,tp_2017q1
agriculture,2017m7,1.1,0.9,2.8,3.0,1.9,1.1,4.0,4.4,3.0,3.2,2.5,1.4,1.9,2.5,2.0,-0.8
fishing,2017m7,-4.8,-8.9,-15.2,-60.8,-27.9,-9.2,36.6,-21.6,43.8,15.9,1.8,-59.6,68.3,27.6,-10.1,37.9
mining,2017m7,4.8,-4.3,-3.0,-0.4,-0.9,4.4,7.6,10.3,15.1,9.5,15.7,23.6,16.0,10.7,16.3,4.1
manufacturing,2017m7,3.5,-3.3,-3.7,-9.9,-3.6,-5.2,0.1,-2.0,1.2,-1.5,-2.7,-8.1,2.3,2.6,-1.5,1.7
electricity,2017m7,5.7,4.9,4.5,4.5,4.9,4.5,5.1,6.0,8.1,5.9,10.3,7.2,6.6,5.3,7.3,1.0
construction,2017m7,5.1,0.1,0.1,2.7,1.9,-6.8,-8.6,-6.8,-2.1,-5.8,2.1,0.9,-3.6,-9.2,-3.1,-5.3
commerce,2017m7,5.2,4.4,4.0,4.2,4.4,3.6,3.8,4.1,3.9,3.9,2.8,2.3,1.4,0.9,1.8,0.1
services,2017m7,5.9,5.0,4.5,4.8,5.0,4.1,4.0,4.3,4.4,4.2,4.4,4.1,3.9,3.1,3.9,3.0
gdp,2017m7,5.0,1.9,1.8,1.2,2.4,1.8,3.2,3.3,4.7,3.3,4.5,3.7,4.5,3.0,3.9,2.1
