industry,vintage,tp_2020m1,tp_2020m2,tp_2020m3,tp_2020m4,tp_2020m5,tp_2020m6,tp_2020m7,tp_2020m8,tp_2020m9,tp_2020m10,tp_2020m11,tp_2020m12,tp_2021m1
agriculture,2021m3,4.7,5.7,1.1,2.5,5.0,-0.8,-4.3,-2.5,3.2,2.3,1.3,-2.4,1.2
fishing,2021m3,-34.3,7.1,-18.5,-51.7,-46.3,46.2,23.0,-3.9,10.8,4.0,-2.2,108.5,74.9
mining,2021m3,3.5,3.6,-21.7,-42.1,-45.6,-14.2,-5.9,-11.1,-12.2,-2.8,-4.7,-3.7,-8.5
manufacturing,2021m3,0.5,4.1,-33.5,-53.1,-44.4,-12.8,-9.3,-10.9,-3.7,-2.6,-3.2,9.2,7.0
electricity,2021m3,1.6,5.1,-11.8,-25.5,-21.7,-10.6,-5.0,-2.6,-1.7,-0.1,-0.4,-0.3,-0.1
construction,2021m3,5.9,6.0,-46.1,-90.2,-66.3,-42.9,-12.5,-5.9,4.6,14.5,18.4,23.1,15.2
commerce,2021m3,2.7,2.6,-25.1,-63.6,-49.6,-27.8,-10.5,-7.7,-6.1,-3.8,-2.5,-1.6,-0.8
services,2021m3,3.6,3.6,-6.2,-28.4,-22.3,-17.9,-13.6,-9.9,-7.5,-6.3,-5.4,-4.7,-3.1
gdp,2021m3,2.9,3.8,-16.8,-39.1,-32.6,-18.3,-11.3,-9.3,-6.2,-3.3,-2.5,0.5,-1.0
