target_period,agriculture_2021_5,fishing_2021_5,mining_2021_5,manufacturing_2021_5,electricity_2021_5,construction_2021_5,commerce_2021_5,services_2021_5,gdp_2021_5
2020m3,1.1,-18.5,-21.9,-33.4,-11.8,-46.1,-25.1,-5.9,-16.8
2020m4,2.5,-51.7,-42.3,-53.1,-25.5,-90.2,-63.6,-28.4,-39.1
2020m5,5.0,-46.3,-45.8,-44.3,-21.7,-66.3,-49.6,-22.2,-32.6
2020m6,-0.8,46.2,-14.5,-12.5,-10.6,-42.9,-27.8,-18.0,-18.4
2020m7,-4.3,23.0,-6.2,-8.8,-5.0,-12.5,-10.5,-13.7,-11.3
2020m8,-2.5,-3.9,-11.4,-10.5,-2.6,-5.9,-7.7,-9.9,-9.3
2020m9,3.2,10.8,-12.5,-3.3,-1.7,4.6,-6.1,-7.6,-6.2
2020m10,2.3,4.0,-2.9,-2.5,-0.1,14.5,-3.8,-6.3,-3.3
2020m11,1.3,-2.2,-5.0,-2.9,-0.4,18.4,-2.5,-5.5,-2.5
2020m12,-2.4,108.5,-3.9,9.4,-0.3,23.1,-1.6,-4.5,0.6
2021m1,2.1,74.9,-8.5,5.8,-0.1,15.2,-0.8,-3.0,-1.0
2021m2,0.6,8.1,-4.6,0.8,-4.6,14.3,-5.7,-7.7,-3.8
2021m3,-1.9,33.6,15.4,50.3,14.0,133.1,6.8,7.1,18.2
