target_period,agriculture_2021_12,fishing_2021_12,mining_2021_12,manufacturing_2021_12,electricity_2021_12,construction_2021_12,commerce_2021_12,services_2021_12,gdp_2021_12
2020m10,2.3,9.0,-2.9,-1.4,-0.1,14.5,-3.8,-6.4,-3.2
2020m11,0.9,-0.3,-4.9,-2.4,-0.4,18.4,-2.5,-5.2,-2.1
2020m12,-0.8,113.6,-3.9,9.9,-0.3,23.1,-1.6,-4.2,1.0
2021m1,1.7,70.6,-8.4,7.7,-0.1,16.3,-0.2,-3.0,-0.8
2021m2,0.3,6.8,-4.4,1.0,-4.6,14.5,-5.7,-7.1,-3.4
2021m3,-1.8,35.7,15.4,51.2,14.0,133.4,12.5,8.5,20.0
2021m4,-5.2,141.1,58.0,115.3,34.0,989.2,158.3,33.9,59.4
2021m5,-5.7,97.6,66.9,83.6,28.5,257.9,104.1,26.0,48.1
2021m6,11.1,-37.7,7.8,19.1,15.1,90.3,38.1,21.5,23.6
2021m7,11.1,-41.4,-0.9,6.7,6.9,36.5,13.3,15.7,12.9
2021m8,6.1,-29.9,3.1,11.6,6.0,25.1,9.9,13.1,11.8
2021m9,11.5,-39.2,11.1,7.0,5.9,12.6,7.4,9.9,9.7
2021m10,5.2,-33.1,1.4,0.8,3.3,-3.1,5.1,7.7,4.5
