target_period,agriculture_2021_10,fishing_2021_10,mining_2021_10,manufacturing_2021_10,electricity_2021_10,construction_2021_10,commerce_2021_10,services_2021_10,gdp_2021_10
2020m8,-2.5,2.6,-11.5,-9.9,-2.6,-6.0,-7.7,-9.7,-9.1
2020m9,2.9,9.3,-12.6,-2.4,-1.7,4.6,-6.1,-7.3,-6.0
2020m10,2.3,9.0,-2.9,-1.4,-0.1,14.5,-3.8,-6.4,-3.2
2020m11,0.9,-0.3,-4.9,-2.4,-0.4,18.4,-2.5,-5.2,-2.1
2020m12,-0.8,113.6,-3.9,9.9,-0.3,23.1,-1.6,-4.2,1.0
2021m1,1.7,70.6,-8.5,7.7,-0.2,16.2,-0.2,-3.0,-0.8
2021m2,0.2,6.8,-4.4,1.0,-4.6,14.6,-5.7,-7.2,-3.5
2021m3,-1.9,35.7,15.4,51.2,13.9,133.2,12.5,8.5,20.0
2021m4,-5.0,141.1,57.9,115.3,33.9,988.6,158.3,33.8,59.4
2021m5,-4.0,97.6,66.9,83.6,28.4,257.3,104.1,26.0,48.3
2021m6,8.9,-37.7,7.8,19.1,15.2,90.7,38.1,21.5,23.4
2021m7,11.1,-41.4,-0.9,6.7,7.1,37.4,13.3,15.7,12.9
2021m8,6.0,-29.9,3.1,11.6,5.9,25.5,9.9,13.1,11.8
