target_period,agriculture_2021_4,fishing_2021_4,mining_2021_4,manufacturing_2021_4,electricity_2021_4,construction_2021_4,commerce_2021_4,services_2021_4,gdp_2021_4
2020m2,5.7,7.1,3.6,4.1,5.1,6.0,2.6,3.6,3.8
2020m3,1.1,-18.5,-21.7,-33.5,-11.8,-46.1,-25.1,-6.2,-16.8
2020m4,2.5,-51.7,-42.1,-53.1,-25.5,-90.2,-63.6,-28.4,-39.1
2020m5,5.0,-46.3,-45.6,-44.4,-21.7,-66.3,-49.6,-22.2,-32.6
2020m6,-0.8,46.2,-14.2,-12.8,-10.6,-42.9,-27.8,-17.9,-18.3
2020m7,-4.3,23.0,-5.9,-9.3,-5.0,-12.5,-10.5,-13.6,-11.3
2020m8,-2.5,-3.9,-11.1,-10.9,-2.6,-5.9,-7.7,-9.9,-9.3
2020m9,3.2,10.8,-12.2,-3.7,-1.7,4.6,-6.1,-7.6,-6.2
2020m10,2.3,4.0,-2.8,-2.6,-0.1,14.5,-3.8,-6.3,-3.3
2020m11,1.3,-2.2,-4.7,-3.2,-0.4,18.4,-2.5,-5.4,-2.5
2020m12,-2.4,108.5,-3.7,9.2,-0.3,23.1,-1.6,-4.7,0.5
2021m1,1.2,74.9,-8.5,7.0,-0.1,15.2,-0.8,-3.1,-1.0
2021m2,0.8,8.1,-5.3,-1.3,-4.6,14.3,-5.7,-7.9,-4.2
