industry,vintage,tp_2015m8,tp_2015m9,tp_2015m10,tp_2015m11,tp_2015m12,tp_2016m1,tp_2016m2,tp_2016m3,tp_2016m4,tp_2016m5,tp_2016m6,tp_2016m7,tp_2016m8
agriculture,2016m10,2.0,5.3,5.2,0.9,2.4,5.4,0.3,-0.8,3.3,-0.3,-0.8,-2.1,4.4
fishing,2016m10,-10.3,3.7,-8.7,49.0,82.5,40.4,-18.9,-19.0,-77.1,-67.0,-0.4,103.2,65.6
mining,2016m10,6.5,13.1,10.8,11.6,23.1,8.1,23.7,16.2,22.8,33.1,15.8,14.1,19.1
manufacturing,2016m10,-2.1,-4.2,-3.3,1.2,5.1,-2.9,-0.4,-4.5,-13.1,-8.9,-0.9,1.2,2.0
electricity,2016m10,6.6,7.0,7.1,7.3,9.9,8.6,14.2,8.5,9.0,7.2,6.3,6.6,6.6
construction,2016m10,-8.1,-4.8,-1.1,-6.5,0.5,-2.7,5.4,3.4,1.4,5.6,-3.8,-7.5,1.3
commerce,2016m10,4.0,4.1,4.0,4.1,3.6,2.6,3.4,2.4,3.1,2.3,1.5,1.2,1.8
services,2016m10,5.0,4.5,4.7,5.2,5.1,5.0,5.5,4.7,4.8,4.4,4.2,4.4,4.2
gdp,2016m10,2.8,3.4,3.4,4.0,6.5,3.5,6.2,3.7,2.7,4.8,3.6,3.8,5.5
