target_period,agriculture_2016_7,fishing_2016_7,mining_2016_7,manufacturing_2016_7,electricity_2016_7,construction_2016_7,commerce_2016_7,services_2016_7,gdp_2016_7
2015m5,2.8,23.2,1.8,-3.5,5.4,-13.3,3.7,4.8,1.2
2015m6,8.6,-29.6,11.4,-2.7,5.5,-3.7,4.1,5.4,4.1
2015m7,5.9,-37.5,11.2,-0.7,5.4,-7.5,4.3,5.1,3.6
2015m8,1.9,-10.3,6.4,-2.1,6.7,-8.1,4.0,4.9,2.7
2015m9,4.6,3.7,13.0,-4.2,6.8,-4.8,4.1,4.5,3.4
2015m10,5.2,-8.7,10.7,-3.3,7.2,-1.1,4.0,4.9,3.4
2015m11,0.8,49.0,11.3,1.4,7.4,-6.5,4.1,5.4,4.1
2015m12,1.7,82.5,22.4,5.0,10.1,0.1,3.6,5.1,6.4
2016m1,5.3,40.4,7.8,-3.6,8.8,-2.7,2.6,5.0,3.4
2016m2,0.4,-18.9,23.6,-0.7,14.5,5.4,3.4,5.4,6.2
2016m3,-0.6,-19.0,16.2,-4.6,8.9,3.4,2.4,4.7,3.7
2016m4,2.7,-77.1,22.8,-13.8,9.2,1.4,3.1,4.6,2.5
2016m5,-1.3,-67.0,33.2,-7.5,7.1,5.6,2.3,4.2,4.9
