target_period,agriculture_2016_9,fishing_2016_9,mining_2016_9,manufacturing_2016_9,electricity_2016_9,construction_2016_9,commerce_2016_9,services_2016_9,gdp_2016_9
2015m7,6.1,-37.5,11.3,-0.7,5.3,-7.5,4.3,5.2,3.6
2015m8,2.0,-10.3,6.5,-2.1,6.6,-8.1,4.0,5.0,2.8
2015m9,5.3,3.7,13.1,-4.2,7.0,-4.8,4.1,4.5,3.4
2015m10,5.2,-8.7,10.8,-3.3,7.1,-1.1,4.0,4.7,3.4
2015m11,0.9,49.0,11.6,1.2,7.3,-6.5,4.1,5.2,4.0
2015m12,2.4,82.5,23.1,5.1,9.9,0.5,3.6,5.1,6.5
2016m1,5.4,40.4,8.1,-2.9,8.6,-2.7,2.6,5.0,3.5
2016m2,0.3,-18.9,23.7,-0.4,14.2,5.4,3.4,5.5,6.2
2016m3,-0.8,-19.0,16.2,-4.5,8.5,3.4,2.4,4.7,3.7
2016m4,3.3,-77.1,22.8,-13.1,9.0,1.4,3.1,4.8,2.7
2016m5,-0.3,-67.0,33.1,-8.9,7.2,5.6,2.3,4.4,4.8
2016m6,-0.8,-0.4,15.8,-0.9,6.3,-3.8,1.5,4.2,3.6
2016m7,-2.1,103.2,14.1,1.2,6.6,-7.5,1.2,4.4,3.8
