industry,vintage,tp_2015m1,tp_2015m2,tp_2015m3,tp_2015m4,tp_2015m5,tp_2015m6,tp_2015m7,tp_2015m8,tp_2015m9,tp_2015m10,tp_2015m11,tp_2015m12,tp_2016m1,tp_2016m2
agriculture,2016m4,-2.0,3.0,1.9,-1.3,2.8,8.6,5.9,1.9,4.6,5.2,0.8,1.7,5.5,0.1
fishing,2016m4,-23.5,-11.8,17.7,143.5,23.2,-29.6,-37.5,-10.3,3.7,-8.7,49.0,82.5,40.4,-18.9
mining,2016m4,5.9,-2.0,8.7,9.3,1.8,11.4,11.2,6.4,13.0,10.7,11.3,22.4,7.8,23.6
manufacturing,2016m4,-6.8,-4.4,-4.1,5.6,-3.5,-2.7,-0.7,-2.1,-4.2,-3.3,1.4,5.0,-3.9,-0.7
electricity,2016m4,4.6,3.7,5.6,5.7,5.4,5.5,5.4,6.7,6.8,7.2,7.4,10.1,8.8,14.8
construction,2016m4,-2.8,-9.6,-7.7,-8.7,-13.3,-3.7,-7.5,-8.1,-4.8,-1.1,-6.5,0.1,-2.7,5.4
commerce,2016m4,3.6,3.4,3.9,3.5,3.7,4.1,4.3,4.0,4.1,4.0,4.1,3.6,2.6,3.4
services,2016m4,5.0,5.0,5.6,4.9,4.8,5.4,5.1,4.9,4.5,4.9,5.4,5.1,5.0,5.1
gdp,2016m4,1.5,1.1,2.8,4.2,1.2,4.1,3.6,2.7,3.4,3.4,4.1,6.4,3.4,6.0
