target_period,agriculture_2023_1,fishing_2023_1,mining_2023_1,manufacturing_2023_1,electricity_2023_1,construction_2023_1,commerce_2023_1,services_2023_1,gdp_2023_1
2021m11,3.2,18.3,-5.2,5.0,3.1,-5.6,3.8,7.2,3.7
2021m12,10.0,-10.0,-5.4,2.6,2.5,-8.9,2.7,4.7,1.9
2022m1,5.3,-34.1,4.5,-1.6,3.3,-0.6,2.3,4.1,2.9
2022m2,2.6,-31.2,0.0,2.7,4.3,-2.5,7.5,8.0,4.8
2022m3,4.2,-34.0,-1.0,4.2,2.8,1.4,8.1,4.6,3.8
2022m4,7.7,-40.4,-0.6,3.2,2.8,4.9,2.6,5.2,4.0
2022m5,9.1,-19.1,-6.0,1.7,2.0,0.2,2.8,5.0,2.5
2022m6,-0.3,15.1,3.1,5.9,3.1,5.1,2.5,2.7,3.5
2022m7,0.8,29.0,-5.7,2.4,5.0,1.0,2.8,2.7,1.6
2022m8,4.5,-14.7,-4.9,-0.2,3.4,4.7,2.3,2.1,1.7
2022m9,2.5,-9.3,-2.1,-0.9,4.6,3.1,2.1,2.2,1.7
2022m10,5.2,1.8,1.7,-0.6,4.2,4.2,2.8,2.2,2.0
2022m11,1.2,-48.5,5.1,-2.8,5.7,6.8,3.0,1.5,1.7
