industry,vintage,tp_2008m12,tp_2009m1,tp_2009m2,tp_2009m3,tp_2009m4,tp_2009m5,tp_2009m6,tp_2009m7,tp_2009m8,tp_2009m9,tp_2009m10,tp_2009m11,tp_2009m12
agriculture,2010m2,5.1,-1.4,5.0,9.1,2.1,6.1,-5.0,1.2,3.6,2.3,0.8,2.7,2.2
fishing,2010m2,7.1,-17.1,-9.7,-15.0,-16.1,33.4,-8.5,-4.7,-12.3,-0.2,-18.6,-4.7,-21.7
mining,2010m2,3.4,10.7,-1.9,2.5,2.8,1.6,-2.2,0.3,1.1,-1.1,-0.5,-1.1,-5.7
manufacturing,2010m2,4.5,-0.5,-6.7,-5.5,-13.6,-8.0,-13.1,-12.2,-10.4,-8.3,-5.9,-2.6,1.6
electricity,2010m2,2.9,3.5,-1.7,1.7,0.5,2.1,-1.8,-1.8,0.3,0.8,0.2,4.0,6.2
construction,2010m2,10.3,4.5,4.7,6.3,-1.5,-0.3,-1.3,6.4,5.2,3.3,10.7,13.8,19.7
commerce,2010m2,4.6,1.7,-0.8,0.3,-2.3,-0.7,-3.4,-2.8,-1.7,-0.7,-0.2,2.7,4.3
services,2010m2,4.3,4.5,1.7,5.8,0.9,2.5,2.7,1.0,3.4,2.4,2.7,6.7,8.9
gdp,2010m2,4.7,3.0,0.1,3.1,-1.8,0.8,-2.1,-1.4,0.3,0.0,1.0,4.2,6.4
